\nSome scans not found or invalid.,\nNěkteré skeny nebyly nalezeny nebo jsou neplatné.
\nSome scans not found or invalid.\n,\nNěkteré skeny nebyly nalezeny nebo jsou neplatné.\n
\nSort mode.,\nRežim třídění.
\nSort selected objects by [X/Y/Select-order] <%ls>:,\nŘadit vybrané objekty dle [X/Y/Vybrat pořadí] <%ls>:
"\nSource drawing ""%s"" for block ""%s"" was not found.","\nZdrojový výkres ""%s"" pro blok ""%s"" nenalezen."
"\nSource drawing file ""%s"" not found. A file by the same name exists in ""%s"". Use this file?","\nZdrojový výkresový soubor ""%s"" nenalezen. Soubor se stejným názvem již existuje v ""%s"". Použít tento soubor?"
\nSpace between standard pattern lines <%ls>:,\nVzdálenost mezi standardními čárami šrafu <%ls>:
\nSpacing Mode: %ls,\nRežim mezery: %ls
\nSpecified entity:%ls has been deleted or is invalid.,"\nUrčený objekt: %ls byl vymazán, nebo je poškozen."
"\nSpecified object has attached a voice, please try again.","\nZadaný objekt má hlas připojen, zkuste to znovu."
\nSpecified point not found.\n,\nUrčený bod nenalezen.\n
\nSpecified tool palette not found.,\nZadaná paleta nástrojů nebyla nalezena.
\nSpecify a boundary gap tolerance value <%ls>:,\nUrčete hodnotu tolerance mezery hranice <%ls>:
\nSpecify a conversion precision <%d>:,\nUrčete přesnost převodu <%d>:
\nSpecify a line object or [Exit]:,\nUrčete čárový objekt nebo [Konec]:
\nSpecify a mode for basepoint movement [move Object/move Basepoint] <move Basepoint>:,\nUrčete režim pro pohyb základního bodu [přesunout Objekt/přesunout základní Bod] <přesunout základní Bod>:
\nSpecify a new angle or [Base point/Copy/Undo/Reference/eXit]:,\nZadejte nový úhel nebo [referenční Bod/Kopie/Zpět/Reference/konEc]:
\nSpecify a new angle or [Points] <%ls>:,\nUrčete nový úhel nebo [Body] <%ls>:
\nSpecify a new current elevation <%ls>:,\nZadejte novou aktuální výšku <%ls>:
\nSpecify a new current thickness <%ls>:,\nZadejte novou aktuální tloušťku <%ls>:
\nSpecify a new elevation <%ls>:,\nZadejte nový zdvih <%ls>:
\nSpecify a new elevation <varies>:,\nZadejte nový zdvih <různé>:
\nSpecify a new end point:,\nUrčete nový koncový bod:
\nSpecify a new height <%f>:,\nUrčete novou výšku <%f>:
\nSpecify a new insertion point <no change>:,\nUrčete nový bod vložení <beze změny>:
\nSpecify a new length or [Base point/Copy/Undo/Reference/eXit]:,\nZadejte novou délku nebo [referenční Bod/Kopie/Zpět/Reference/konEc]:
\nSpecify a new location for vertex:,\nUrčete nové umístění vrcholu:
\nSpecify a new origin point or [World/Zdepth] <%ls>:,"\nZadejte nový bod počátku, nebo [Globální/Zhloubka] <%ls>:"
\nSpecify a new origin point or [Zdepth] <%ls>:,"\nZadejte nový bod počátku, nebo [Zhloubka] <%ls>:"
\nSpecify a new radius for circle <no change>:,\nUrčete nový poloměr kružnice <beze změny>:
\nSpecify a point for ordinate dimension:,\nUrčete bod pro staniční kótu:
\nSpecify a point on desired side or [keep Both sides] <Both>:,\nUrčete bod na požadované straně nebo [ponechejte Obě strany] <Obě>:
\nSpecify a point on plane:,\nUrčete bod na rovině:
"\nSpecify a point on the axis of view direction <0,0,0>:","\nUrčete bod na ose směru pohledu <0,0,0>:"
"\nSpecify a point on the current view plane <0,0,0>:","\nUrčit bod v aktuální rovině pohledu <0,0,0>:"
\nSpecify a point on the section plane:,\nUrčit bod v rovině řezu:
\nSpecify a point on the spline <exit>:,\nUrčit bod na spline <Konec>:
"\nSpecify a point on the X axis <0,0,0>:","\nUrčit bod na ose X <0,0,0>:"
"\nSpecify a point on the XY plane <0,0,0>:","\nUrčit bod na XY-rovině <0,0,0>:"
"\nSpecify a point on the XY-plane <0,0,0>:","\nUrčit bod na XY-rovině <0,0,0>:"
"\nSpecify a point on the Y axis <0,0,0>:","\nUrčit bod na ose Y <0,0,0>:"
"\nSpecify a point on the YZ plane <0,0,0>:","\nUrčit bod na YZ-rovině <0,0,0>:"
"\nSpecify a point on the YZ-plane <0,0,0>:","\nUrčit bod na YZ-rovině <0,0,0>:"
"\nSpecify a point on the Z axis <0,0,0>:","\nUrčit bod na ose Z <0,0,0>:"
\nSpecify a point on the Z-axis (normal) of the plane:,\nUrčit bod na Z-ose (normálová) roviny:
"\nSpecify a point on the ZX plane <0,0,0>:","\nUrčit bod na ZX-rovině <0,0,0>:"
"\nSpecify a point on the ZX-plane <0,0,0>:","\nUrčit bod na ZX-rovině <0,0,0>:"
"\nSpecify a point on view plane <0,0,0>:","\nUrčete bod roviny pohledu <0,0,0>:"
\nSpecify a point on X-axis or <accept>:,\nUrčete bod na ose X nebo <akceptovat>:
\nSpecify a point on XY plane or <accept>:,\nUrčete bod v rovině XY nebo <akceptovat>:
\nSpecify a point on Z-axis (normal) of plane:,\nUrčit bod na Z-ose (normálová) roviny:
\nSpecify a point:,\nUrčit bod:
\nSpecify a rotation angle or [Reference]:,\nZadejte úhel rotace nebo [Reference]:
\nSpecify a scale for the pattern <%ls>:,\nUrčete měřítko vzoru <%ls>:
\nSpecify a segment length or [Block]:,\nUrčete délku segmentu nebo [Blok]:
\nSpecify a SmartVoice type [Point/Region/Object/Spokesman] <Point>:,\nUrčete typ inteligentního hlasu [Bod/obLast/Objekt/Mluvčí] <Bod>:
\nSpecify action location or [Base type/Multiplier]:,\nUrčete umístění akce nebo [Základní typ/Násobek]:
\nSpecify action location or [Base type/Xy]:,\nUrčete umístění akce nebo [Základní typ/Xy]:
\nSpecify action location or [Base type]:,\nUrčete umístění akce nebo [Základní typ]:
\nSpecify action location or [Multiplier/Offset/Xy]:,\nUrčete umístění akce nebo [Násobek/Odsazení/Xy]:
\nSpecify action location or [Multiplier/Offset]:,\nUrčete umístění akce nebo [Násobek/Odsazení]:
\nSpecify action location or [Multiplier]:,\nUrčete umístění akce nebo [Násobek]:
\nSpecify action location:,\nUrčete umístění akce:
\nSpecify alignment direction or alignment type [Type] <Type>:,\nUrčete směr zarovnání nebo typ zarovnání [Typ] <Typ>:
\nSpecify an axis point or [Axis by object/View/Xaxis/Yaxis/Zaxis] <2points>:,\nZadejte bod na ose nebo [Osa podle objektu/Pohled/Xosa/Yosa/Zosa] <2body>:
\nSpecify an oblique angle or pick a reference [Points/Line] <%ls>:,\nUrčete šikmý úhel nebo vyberte referenci [Body/Úsečka] <%ls>:
\nSpecify an option of alignment [Dim line/Ext line] <%s>:,\nUrčete možnost zarovnání [Kótovací čára/Vynášecí čára] <%s>:
\nSpecify an option to set [Distance/Layer/Gaptype]:,\nUrčit volbu pro nastavení [vzDálenost/Hladina/Typ mezery]:
\nSpecify angle <0>:,\nUrčit úhel <0>:
\nSpecify angle for crosshatch lines <%ls>:,\nUrčete úhel čar šrafování křížem <%ls>:
\nSpecify angle of revolution <360>:,\nUrčit úhel otáčení <360>:
\nSpecify angle of revolution or [STart angle],\nUrčete úhel otočení nebo [Počáteční úhel]:
\nSpecify angle of revolution or [STart angle] <360>:,\nUrčete úhel otočení nebo [Počáteční úhel] <360>:
\nSpecify angle of taper for extrusion <%ls>:,\nUrčit úhel zúžení pro vysunutí <%ls>:
\nSpecify angle of taper for extrusion <0>:,\nUrčit úhel zúžení pro vysunutí <0>:
\nSpecify angular dimension location or [%ls]:,\nUrčete umístění úhlové kóty nebo [%ls]:
\nSpecify another point along the axis of tapering:,\nUrčete další bod podél osy zúžení:
\nSpecify any point to show result or [Text object to show result]:,\nUrčete libovolný bod pro zobrazení výsledku nebo [Objekt textu pro zobrazení výsledku]:
\nSpecify apex of pyramid or [Ridge/Top surface]:,\nUrčete Vrchol pyramidy nebo [Hřbet/horní Povrch]:
\nSpecify arc dimension location or [%ls]:,\nUrčete umístění rozměru oblouku nebo [%ls]:
\nSpecify axis end point:,\nUrčete koncový bod osy:
\nSpecify axis endpoint:,\nUrčete koncový bod osy:
\nSpecify base angle <0>:,\nUrčete základní úhel <0>:
"\nSpecify base point location <%.4f,%.4f>:","\nUrčete základní bod umístění <%.4f,%.4f>:"
\nSpecify base point of alignment or [Name]:,\nUrčete základní bod zarovnání nebo [Název]:
\nSpecify base point of reflection line or [Name/Label/Description/Palette]:,\nUrčete základní bod odrazové čáry nebo [Název/Štítek/Popis/pAleta]:
\nSpecify base point or [Name/Label/Chain/Description/Palette/Value set]:,\nUrčete základní bod nebo [Název/Štítek/Řetězec/Popis/pAleta/Hodnota nastavení]:
\nSpecify base point:,\nUrčit referenční bod:
\nSpecify base radius or [Circumscribed],\nUrčete základní poloměr nebo [Vymezen]
\nSpecify base radius or [Diameter],\nUrčete základní poloměr nebo [Průměr]
\nSpecify base radius or [Inscribed],\nUrčete základní poloměr nebo [Napsaný]
\nSpecify boundary type [Circular/Rectangular/eXit] <%ls>:,\nUrčete typ hranice [kruHový/Obdélníkový/Konec] <%ls>:
\nSpecify candidate set for boundary [New/Everything] <Everything>:,\nUrčit množinu objektů hranice [Nový/všE] <všE>:
"\nSpecify center of base of cone or [Elliptical] <0,0,0>:","\nUrčit centr základny kužele nebo [Eliptický] <0,0,0>:"
\nSpecify center point of base or [Edge/Sides]:,\nUrčete středový bod základny nebo [Hrana/Strany]:
\nSpecify center point of base:,\nUrčete středový bod základny:
\nSpecify center point or [3P/2P/Ttr]:,\nUrčete bod středu nebo [3B/2B/Ttp]:
\nSpecify center:,\nUrčete střed:
\nSpecify circle center:,\nUrčete střed kružnice:
\nSpecify circle diameter,\nUrčete průměr kružnice
\nSpecify circle diameter or [Radius/Offset/Undo],\nUrčete průměr kružnice nebo [Poloměr/Odsazení/Zpět]
\nSpecify circle radius,\nUrčete rádius kružnice
\nSpecify circle radius or [Diameter/Offset/Undo],\nUrčete poloměr kružnice nebo [Průměr/Odsazení/Zpět]
\nSpecify circle radius or [Diameter/Offset],\nUrčete poloměr kružnice nebo [Průměr/Odsazení]
\nSpecify circle radius or [Diameter],\nUrčete poloměr kružnice nebo [Průměr]
\nSpecify circle radius or [Offset/Undo] <%ls>:,\nUrčete poloměr kružnice nebo [Odsazení/Zpět] <%ls>:
\nSpecify circumcircle radius <%ls>:,\nUrčete poloměr opsané kružnice <%ls>:
\nSpecify circumcircle radius or [Offset/Undo] <%ls>:,\nUrčete poloměr opsané kružnice nebo [Odsazení/Zpět] <%ls>:
\nSpecify collected multileader location or [Vertical/Horizontal/Wrap] <%ls>:,\nZadejte získané umístění multiodkazu nebo [Vertikální/Horizontální/Zalomení] <%ls>:
\nSpecify copy mode [mEasure/dIvide] <dIvide>:,\nUrčete režim kopírování [Měření/Dělení] <Dělení>:
\nSpecify corner or [Cube/Length]:,\nZadejte roh nebo [Krychle/Délka]:
\nSpecify default rotation angle or [Base angle] <0>:,\nUrčete výchozí úhel otočení nebo [Základní úhel] <0>:
\nSpecify depth point or [Origin]: o,\nUrčete hloubku nebo zadejte [Počátek]: p
\nSpecify diameter,\nZadejte průměr
\nSpecify diameter dimension location or [%ls]:,\nUrčete umístění kóty průměru nebo [%ls]:
\nSpecify dimension line location or [%ls]:,\nUrčete umístění kótovací čáry nebo [%ls]:
\nSpecify dimension line location or second line for angle [%ls]:,\nUrčte umístění kótovací čáry nebo druhou čáru pro úhel [%ls]:
\nSpecify dimension line location:,\nUrčit umístění kótovací čáry:
"\nSpecify dimension line position, or [Continuous/Staggered/Baseline/Ordinate/Radius/Diameter/datumPoint/Edit/seTtings] <Baseline>:","\nUrčit umístění kótovací čáry, nebo [řetězcOvá/Stupňovitá/od Základny/stAniční/poloměR/Průměr/výchozíBod/Edituj/nasTavení] <od Základny>:"
"\nSpecify dimension line position, or [Continuous/Staggered/Baseline/Ordinate/Radius/Diameter/datumPoint/Edit/seTtings] <Continuous>:","\nUrčit umístění kótovací čáry, nebo [řetězcOvá/Stupňovitá/od Základny/stAniční/poloměR/Průměr/výchozíBod/Edituj/nasTavení] <řetězcOvá>:"
"\nSpecify dimension line position, or [Continuous/Staggered/Baseline/Ordinate/Radius/Diameter/datumPoint/Edit/seTtings] <Diameter>:","\nUrčit umístění kótovací čáry, nebo [řetězcOvá/Stupňovitá/od Základny/stAniční/poloměR/Průměr/výchozíBod/Edituj/nasTavení] <Průměr>:"
"\nSpecify dimension line position, or [Continuous/Staggered/Baseline/Ordinate/Radius/Diameter/datumPoint/Edit/seTtings] <Ordinate>:","\nUrčit umístění kótovací čáry, nebo [řetězcOvá/Stupňovitá/od Základny/stAniční/poloměR/Průměr/výchozíBod/Edituj/nasTavení] <stAniční>:"
"\nSpecify dimension line position, or [Continuous/Staggered/Baseline/Ordinate/Radius/Diameter/datumPoint/Edit/seTtings] <Radius>:","\nUrčit umístění kótovací čáry, nebo [řetězcOvá/Stupňovitá/od Základny/stAniční/poloměR/Průměr/výchozíBod/Edituj/nasTavení] <poloměR>:"
"\nSpecify dimension line position, or [Continuous/Staggered/Baseline/Ordinate/Radius/Diameter/datumPoint/Edit/seTtings] <Staggered>:","\nUrčit umístění kótovací čáry, nebo [řetězcOvá/Stupňovitá/od Základny/stAniční/poloměR/Průměr/výchozíBod/Edituj/nasTavení] <Stupňovitá>:"
\nSpecify direction:,\nUrčete směr:
\nSpecify displacement <%ls>:,\nUrčete přemístění <%ls>:
\nSpecify distance between items:,\nZadejte vzdálenost mezi položkami:
\nSpecify drawing direction [Horizontal/Vertical] <Horizontal>:,\nUrčete směr kreslení [Horizontální/Vertikální] <Horizontální>:
\nSpecify each column's height <%ls>:,\nUrčete výšku každého sloupce <%ls>:
\nSpecify each column's width <%ls>:,\nUrčete šířku každého sloupce <%ls>:
\nSpecify end object for chain selection:,\nUrčete koncový objekt pro výběr řetězce:
\nSpecify end point of direction:,\nUrčete koncový bod směru:
\nSpecify end reference length <%ls>:,\nUrčete koncovou délku reference <%ls>:
\nSpecify end reference length <1.0000>:,\nUrčete koncovou délku reference <1.0000>:
\nSpecify endpoint of axis:,\nUrčit koncový bod osy:
\nSpecify endpoint of line or [Undo]:,\nUrčete koncový bod úsečky nebo [Zpět]:
\nSpecify endpoint of reflection line:,\nUrčit koncový bod odrazové čáry:
\nSpecify endpoint or [Undo]:,\nUrčit koncový bod nebo [Zpět]:
\nSpecify endpoint:,\nUrčit koncový bod:
\nSpecify existing fit point on the spline <exit>:,\nUrčete existující bod přizpůsobení na spline <konec>:
\nSpecify fast publish window,\nUrčete okno rychlého publikování
\nSpecify first break point:,\nVyberte první bod přerušení:
\nSpecify first corner of stretch frame or [CPolygon]:,\nUrčete první roh protaženého rámečku nebo [CPolygon]:
\nSpecify first corner of text or [Content first/Leader first/Options] <leader arrowHead first>:,\nUrčete první roh textu nebo [Nejdříve obsah/šipka Odkazu první/Možnosti] <šipka Odkazu první>:
\nSpecify first corner of text or [leader arrowHead first/Content first/Options] <leader Landing first>:,\nUrčete první roh textu nebo [šipka Odkazu první/Nejdříve obsah/Možnosti] <Umístění prvního odkazu>:
\nSpecify first corner of text or [leader arrowHead first/leader Landing first/Options] <Content first>:,\nUrčete první roh textu nebo [šipka Odkazu první/Umístění prvního odkazu/Možnosti] <Nejdříve obsah>:
\nSpecify first corner of text or [leader arrowHead first/Options] <Content first>:,\nZadejte první roh textu nebo [šiPku odkazu/Možnosti] <oBsah>:
\nSpecify first corner or [Center]:,\nUrčete první roh nebo [Střed]:
\nSpecify first corner or [Object] <Object>:,\nUrčit první roh nebo [Objekt] <Objekt>:
\nSpecify first corner or [Style/Height]:,\nUrčete první roh [Styl/Výška]:
\nSpecify first corner or [Style/Width]:,\nUrčete první roh nebo [Styl/Šířka]:
\nSpecify first corner or [Viewport] <Viewport>:,\nUrčit první roh nebo [Výřez] <Výřez>:
\nSpecify first corner point of limits:,\nUrčete bod prvního rohu limitu:
\nSpecify first corner:,\nUrčete první roh:
\nSpecify first corner:,\nUrčit první roh:
\nSpecify first destination point:,\nUrčit první cílový bod:
\nSpecify first end of ellipse axis or [Center]:,\nUrčit první konec osy elipsy nebo [Střed]:
\nSpecify first extension line origin or [%ls]:,\nUveďte počátek první vynášecí čáry nebo [%ls]:
"\nSpecify first leader point, or [Settings] <Settings>:","\nUrčit první bod odkazu, nebo [NAstavení] <NAstavení>:"
\nSpecify first point on axis or define axis by [Object/Last/View/Xaxis/Yaxis/Zaxis/2points]:,\nUrčit první bod na ose nebo definovat osu pomocí [Objekt/posLední/Pohled/Xosa/Yosa/Zosa/2body]:
\nSpecify first point on axis:,\nUrčit první bod na osi:
\nSpecify first point on plane:,\nUrčete první bod na rovině:
\nSpecify first point on Section plane by [Object/Zaxis/View/XY/YZ/ZX/3points] <3points>:,\nVyberte první bod na Rovině řezu pomocí [Objekt/Z osa/Pohled/XY/XZ/ZX/3body] <3body>:
\nSpecify first point or [Invisible]:,\nZadejte první bod nebo [Neviditelný]:
\nSpecify first point or [Options]:,\nUrčete první bod nebo [Možnosti]:
\nSpecify first point:,\nUrčit první bod:
\nSpecify first side of angle or [%ls]:,\nUrčete první stranu úhlu nebo [%ls]:
\nSpecify first source point:,\nUrčit první zdrojový bod:
\nSpecify fixed landing distance <%.4f>:,\nZadejte pevnou vzdálenost prodloužení <%.4f>:
\nSpecify fourth point or [Invisible] <create three-sided face>:,\nUrčete čtvrtý bod nebo [Neviditelný] <vytvoř trojstrannou plochu>:
\nSpecify height between turns,\nUrčete výšku mezi otočením
\nSpecify height of cone or [Apex]:,\nUrčit výšku kuželu nebo [Vrchol]:
\nSpecify height of cone or [Center of second end]:,\nUrčete výšku kužele nebo [Střed druhého konce]:
\nSpecify height of extrusion or [Direction/Path/Taper angle],\nUrčete výšku vysunutí [Směr/Cesta/Úhel zúžení]
\nSpecify height of extrusion or [Path]:,"\nUrčit výšku vysunutí, nebo [Cestu]:"
\nSpecify height of text or [Annotative] <%ls>:,\nUrčete výšku textu nebo [Poznámkový] <%ls>:
\nSpecify height or [2Point/Axis endpoint/Top radius],\nUrčete výšku nebo [2Body/Koncový bod osy/Horní poloměr]
\nSpecify height or [2Point/Axis endpoint/Top surface],\nUrčete výšku nebo [2Body/Koncový bod osy/Horní povrch]
\nSpecify height or [2Point/Axis endpoint],\nUrčete výšku nebo [2Body/Koncový bod osy]
\nSpecify height or [2Point/Axis endpoint] <default>:,\nUrčete výšku nebo [2Body/Koncový bod osy] <výchozí>:
\nSpecify height or [2Point] <%.4f>:,\nUrčete výšku nebo [2Body] <%.4f>:
\nSpecify height or [2Point]:,\nUrčete výšku nebo [2Body]:
\nSpecify helix height or [Axis endpoint/Turns/turn Height/tWist],\nUrčete výšku spirály nebo [koncový bod Osy/oTočení/Výška otočení/Zkroucení]
\nSpecify horizontal spacing <%ls>:,\nUrčete vodorovné mezery <%ls>:
"\nSpecify insertion point <0,0>:","\nUrčit vkládací bod <0,0>:"
\nSpecify insertion point for block or [leader arrowHead first/leader Landing first/Options] <Content first>:,\nUrčete bod vložení pro blok nebo [šipka Odkazu první/Umístění prvního odkazu/Možnosti] <Nejdříve obsah>:
\nSpecify insertion point for block or [leader arrowHead first/leader Landing first/Options] <leader Landing first>:,\nUrčete bod vložení pro blok nebo [šipka Odkazu první/Umístění prvního odkazu/Možnosti] <Umístění prvního odkazu>:
\nSpecify insertion point for text or [leader arrowHead first/Content first/Options] <leader Landing first>:,\nUrčete bod vložení textu nebo [šipka Odkazu první/Nejdříve obsah/Možnosti] <Umístění prvního odkazu>:
\nSpecify insertion point for text or [OVerwrite/leader arrowHead first/leader Landing first/Options] <Content first>:,\nUrčete bod vložení pro text nebo [Přepsat/šipka Odkazu první/Umístění prvního odkazu/Možnosti] <Nejdříve obsah>:
\nSpecify insertion point or [Basepoint/Scale/X/Y/Z/Rotation]:,"\nUrčit vkládací bod, nebo [Referenční bod/Měřítko/X/Y/Z/Natočení]:"
\nSpecify insertion point or [Basepoint]:,\nUrčete vkládací bod nebo [Referenční bod]:
\nSpecify insertion point or [Scale/X/Y/Z/Rotate]:,"\nUrčit vkládací bod, nebo [Měřítko/X/Y/Z/Otoč]:"
\nSpecify insertion point or [Style/Rows/Columns/Options]:,\nUrčete vkládací bod nebo [Styl/Řádky/sLoupce/Volby]:
\nSpecify insertion point or [Style/Width/Height]:,\nUrčete vkládací bod [Styl/šířKa/Výška]:
"\nSpecify insertion point or [use Geographic location] <0,0>:","\nUrčete vkládací bod nebo [použijte Geografickou polohu] <0,0>:"
\nSpecify insertion point:,\nUrčit vkládací bod:
\nSpecify insertion position or [Settings]:,\nUrčete umístění vložení nebo [Nastavení]:
\nSpecify internal point or [Advanced]:,\nUrčete vnitřní bod nebo [Pokročilý]:
\nSpecify internal point or [Properties/Select objects/draW boundary/remove Boundaries/Advanced/DRaw order/Origin/ANnotative/hatch COlor/LAyer/Transparency]:,\nUrčete vnitřní bod nebo [vlaStnosi/Vybrat objekty/Kreslit hranici/Odebrat hranice/pokRočilé/Pořadí kreslení/počáTek/poznáMKový/Barva šrafy/hlaDina/PRůhlednost]:
\nSpecify internal point:,\nUrčete vnitřní bod:
\nSpecify jog location (or press ENTER):,\nUrčit umístění zalomení (nebo stiskněte ENTER):
\nSpecify label location:,\nUrčete umístění štítku:
\nSpecify landing distance <%.4f>:,\nUrčete vzdálenost prodloužení <%.4f>:
\nSpecify last point or [adjust Number of copies]:,\nZadejte poslední bod nebo [upravit Počet kopií]:
\nSpecify layer for new objects [Source/Current] <%s>:,\nUrčit hladinu nových objektů [Zdrojová/Aktuální] <%s>:
\nSpecify layer or [. (for use current)] <%ls>:,\nUrčete hladinu nebo [. (pro použití aktuální)] <%ls>:
\nSpecify leader arrowhead location or [Content first/leader Landing first/Options] <leader arrowHead first>:,\nUrčete umístění šipky odkazu nebo [Nejdříve obsah/Umístění prvního odkazu/Možnosti] <šipka Odkazu první>:
\nSpecify leader arrowhead location or [Content first/Options] <leader arrowHead first>:,\nZadejte umístění šipky odkazu nebo [oBsah/Možnosti] <šiPku odkazu>:
\nSpecify leader arrowhead location:,\nZadejte umístění šipky odkazu:
\nSpecify leader landing location or [leader arrowHead first/Content first/Options] <leader Landing first>:,\nZadejte umístění prodloužení čáry odkazu nebo [šipka Odkazu první/Nejdříve obsah/Možnosti] <Umístění prvního odkazu>:
\nSpecify leader landing location:,\nZadejte umístění prodloužení čáry odkazu:
\nSpecify leaders to remove or [Add leader]:,"\nZadejte odkazy, které chcete odebrat, nebo zadejte [Přidat odkazy]:"
\nSpecify leaders to remove:,\nUrčete odkazy pro odstránění:
\nSpecify left low corner:,\nUrčete levý dolní roh:
\nSpecify length,\nZadejte délku
\nSpecify length:,\nZadejte délku:
\nSpecify mesh vertex %d:,\nUrčete vrchol sítě %d:
\nSpecify method to distribute dimensions [Equal/Offset] <%ls>:,\nUrčete metodu distribuce kót [Stejný/Odsazení] <%ls>:
\nSpecify new angle <%ls>:,\nUrčete nový úhel <%ls>:
\nSpecify new elevation <%ls>:,\nZadejte nový zdvih <%ls>:
\nSpecify new elevation <varies>:,\nZadejte nový zdvih <různé>:
\nSpecify new fit point to add <exit>:,"\nZadejte nový bod přizpůsobení, který chcete přidat <konec>:"
\nSpecify new fit point to add or [After/Before] <exit>:,"\nZadejte nový bod přizpůsobení, který chcete přidat nebo [Po/přeD] <konec>:"
\nSpecify new height <%f>:,\nUrčete novou výšku <%f>:
\nSpecify new length <%ls>:,\nUrčete novou délku <%ls>:
\nSpecify new length or [Point] <%ls>:,\nUrčit novou délku nebo [Bod] <%ls>:
\nSpecify new location for dimension text or [Left/Right/Center/Home/Angle]:,\nZadejte nové umístění textu kóty nebo [Levý/Pravý/STřed/Domů/úhEL]:
\nSpecify new location or [Next/Previous/Select point/eXit] <%ls>:,\nZadat nové umístění [Další/Předchozí/Vybrat bod/Konec] <%ls>:
\nSpecify new origin point of this set:,\nUrčete nový výchozí bod tohoto nastavení:
\nSpecify new text insertion point<no change>:,\nUrčete nový vkládací bod textu<beze změn>:
\nSpecify next point or [Close/Undo]:,\nUrči další bod nebo [Uzavři/Zpět]:
\nSpecify next point or [Undo]:,\nUrči další bod nebo [Zpět]:
\nSpecify next point:,\nUrči další bod:
\nSpecify number of copies or [%d]:,\nUveďte počet kopií nebo [%d]:
\nSpecify number of copies:,\nUveďte počet kopií:
\nSpecify number per row <%d>:,\nZadejte počet čísel na řádek <%d>:
\nSpecify number per row <%s>:,\nZadejte počet čísel na řádek <%s>:
\nSpecify objects to rotate only,\nUrčete objekty pouze pro otočení
\nSpecify objects to stretch,\nUrčete objekty pro protáhnutí
\nSpecify offset behavior for plines [Normal/Fillet/Chamfer] <%s>:,\nUrčit vlastnost odsazení pro křivky [Standardní/zaoBlit/zKosit] <%s>:
\nSpecify offset distance <%ls>:,\nUrčit vzdálenost odsazení <%ls>:
\nSpecify offset distance or [Radius/Multiple/Undo] <%ls>:,\nUrčete vzdálenost odsazení nebo [Poloměr/Násobně/Zpět] <%ls>:
\nSpecify offset distance or [Through/Erase/Layer] <%ls>:,\nUrčete vzdálenost odsazení nebo [Přes bod/Vymaž/Hladina] <%ls>:
\nSpecify offset distance or [Through/Erase/Layer] <Through>:,\nUrčete vzdálenost odsazení nebo [Přes bod/Vymaž/Hladina] <Přes bod>:
\nSpecify offset distance:,\nUrčit vzdálenost odsazení:
\nSpecify one side to offset or [Both sides]:,\nUrčete jednu stranu pro odsazení nebo [Obě strany]:
\nSpecify opposite corner or [specify X scale factor] <1>:,\nUrčit protilehlý roh nebo [určete měřítko X] <1>:
\nSpecify opposite corner point:,\nUrčit protilehlý bod:
\nSpecify opposite corner:,\nZadejte protilehlý roh:
"\nSpecify origin of new UCS or [ZAxis/3point/OBject/Face/View/X/Y/Z] <0,0,0>:","\nUrčete počátek USS nebo [ZOsa/3body/OBjekt/PLocha/POhled/X/Y/Z] <0,0,0>:"
\nSpecify origin of UCS or [?/Face/3point/Delete/OBject/Origin/Previous/Restore/Save/View/X/Y/Z/ZAxis/World] <World>:,\nUrčete počátek USS nebo [?/PLocha/3body/Vymazat/OBjekt/ZDroj/Předchozí/Obnovit/Uložit/POhled/X/Y/Z/ZOsa/Globální] <Globální>:
\nSpecify Origin of UCS or [Face/?/OBject/Previous/View/World/3point/New/Move/Delete/orthoGraphic/Restore/Save/X/Y/Z/ZAxis] <World>:,\nUrčete počátek USS nebo [PLocha/?/OBjekt/Předchozí/poHled/GLobální/3body/Nový/POsunout/oDstranit/PRavoúhlý/oBnov/Ulož/X/Y/Z/ZOsa] <GLobální>:
\nSpecify other corner or [Cube/Length]:,\nUrčete další roh nebo[Krychle/Délka]:
\nSpecify other corner:,\nUrčete jiný roh:
\nSpecify overall width <%ls>:,\nUrčete celkovou šířku<%ls>:
\nSpecify paper text height <%ls>:,\nUrčete výšku textu papíru <%ls>:
\nSpecify parameter location or [Name/Label/Chain/Description/Palette]:,\nUrčete umístění parametru nebo [Název/Štítek/Řetězec/Popis/pAleta]:
\nSpecify parameter location or [Name/Label/Description/Palette]:,\nUrčete parametr umístění nebo [Název/Štítek/Popis/pAleta]:
\nSpecify parameter location or [Palette]:,\nUrčete parametr umístění nebo [Paleta]:
\nSpecify parameter location:,\nUrčete umístění parametru:
\nSpecify parameter point to associate with action or enter [Base point/Second point/Xcorner/Ycorner]%ls:,\nUrčete bod parametru pro asociaci s akcí nebo zadejte [Základní bod/Druhý bod/Xroh/Yroh]%ls:
\nSpecify parameter point to associate with action or enter [sTart point/Second point]%ls:,\nUrčete bod parametru pro asociaci s akcí nebo zadejte [Počátení bod/Druhý bod]%ls:
\nSpecify point on side to offset or [Exit/Multi/Undo] <Exit>:,\nUrčete bod – na kterou stranu nebo [Konec/Násobně/Zpět] <Konec>:
\nSpecify point on side to offset or [Exit/Undo] <Next object>:,\nUrčete bod – na kterou stranu nebo [Konec/Zpět] <další objekt>:
\nSpecify point or [Base point/Undo/eXit]:,\nUrčete umístění bodu nebo [referenční Bod/Zpět/konEc]:
